"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CHN1",3.07406079881838e-10,0.63824419894395,0.207,0.109,8.08477990089235e-06,"0","CHN1"
"PLIN2",1.95772694437888e-06,0.538833388528268,0.414,0.328,0.0514882186371645,"0","PLIN2"
"TMIGD2",5.71561750856373e-114,1.0929306245759,1,0.48,1.50320740475226e-109,"1","TMIGD2"
"IGHA1",1.19427209114371e-75,1.45734485337012,0.839,0.505,3.14093559970797e-71,"1","IGHA1"
"RPL3",6.57059992222571e-72,0.756395907356619,0.998,0.997,1.72806777954536e-67,"1","RPL3"
"RPS6",8.16761119238167e-72,0.624517752249664,1,0.998,2.14808174359638e-67,"1","RPS6"
"RPL13",9.43579228461143e-70,0.513557431309404,1,0.999,2.48161337085281e-65,"1","RPL13"
"TMEM66",1.11329787665274e-57,1.42038604391949,0.41,0.123,2.92797341559672e-53,"1","TMEM66"
"RPL10",7.83768958683087e-57,0.526715441859834,1,0.999,2.06131236133652e-52,"1","RPL10"
"RPS14",4.34043576104342e-54,0.516254066993915,0.996,0.998,1.14153460515442e-49,"1","RPS14"
"MT-RNR2",3.53148281370477e-52,1.25851937356047,0.459,0.148,9.28779980004354e-48,"1","MT-RNR2"
"RPS2",2.71797695332768e-48,0.576788283517824,1,0.999,7.14827938725179e-44,"1","RPS2"
"RPS3",1.15601885789842e-45,0.505051314563306,1,0.996,3.04032959627286e-41,"1","RPS3"
"GAS5",8.86858695039786e-37,1.20313692199955,0.288,0.089,2.33243836795464e-32,"1","GAS5"
"IGJ",5.05296218492608e-36,1.11361310313255,0.332,0.116,1.32892905463556e-31,"1","IGJ"
"PTPRCAP",5.13412902977945e-36,1.08473173523891,0.321,0.109,1.35027593483199e-31,"1","PTPRCAP"
"IGHA2",1.26122604747888e-35,1.02926049028597,0.423,0.181,3.31702450486945e-31,"1","IGHA2"
"C17orf76-AS1",3.11044086362215e-35,1.21363611900564,0.313,0.107,8.18045947132624e-31,"1","C17orf76-AS1"
"ANXA1",1.69711184929507e-33,0.886817521571643,0.748,0.524,4.46340416364603e-29,"1","ANXA1"
"AC009501.4",2.8781464229819e-31,1.07769862641993,0.197,0.05,7.5695250924424e-27,"1","AC009501.4"
"SNHG5",1.78313901756403e-28,0.972157844348204,0.277,0.097,4.6896556161934e-24,"1","SNHG5"
"AMICA1",1.2456938456544e-22,0.876271910357957,0.203,0.068,3.27617481407107e-18,"1","AMICA1"
"MT-RNR1",1.07395640578125e-20,0.883507088269666,0.29,0.121,2.82450534720469e-16,"1","MT-RNR1"
"SNHG6",1.63817543687325e-19,0.682416321967202,0.171,0.056,4.30840139897664e-15,"1","SNHG6"
"RPSAP58",3.92297810789294e-19,0.808683512627651,0.182,0.064,1.03174324237584e-14,"1","RPSAP58"
"IL7R",6.93627281718675e-19,0.684975263628873,0.677,0.541,1.82423975092011e-14,"1","IL7R"
"FOS",7.96660169350922e-19,0.965046929011923,0.723,0.604,2.09521624539292e-14,"1","FOS"
"NHP2L1",7.47192745544903e-18,0.629566181854729,0.171,0.059,1.96511692078309e-13,"1","NHP2L1"
"MIR24-2",7.73057728701007e-16,0.706150215929935,0.161,0.058,2.03314182648365e-11,"1","MIR24-2"
"PCED1B-AS1",4.01632603531261e-14,0.644537868735327,0.121,0.039,1.05629374728722e-09,"1","PCED1B-AS1"
"PTGER2",1.13008885518593e-13,0.597205658019085,0.167,0.068,2.972133689139e-09,"1","PTGER2"
"JUNB",3.86338766107786e-12,0.805518062589028,0.744,0.711,1.01607095486348e-07,"1","JUNB"
"FOSB",4.38678422618155e-12,0.814923852014877,0.505,0.399,1.15372425148575e-07,"1","FOSB"
"MRP63",8.1854004464197e-12,0.622344257095575,0.108,0.037,2.15276031740838e-07,"1","MRP63"
"DUSP1",3.14852366234532e-10,0.533499849055647,0.776,0.727,8.2806172319682e-06,"1","DUSP1"
"SOCS1",2.02111136786026e-09,0.614951577958345,0.328,0.223,5.31552289747247e-05,"1","SOCS1"
"GIMAP7",2.4506638135971e-07,0.581084065727043,0.389,0.301,0.00644524582976039,"1","GIMAP7"
"PTGER4",3.21732577210872e-07,0.52665078087445,0.351,0.262,0.00846156678064594,"1","PTGER4"
"ICAM2",1.48905705533406e-06,0.506014689624423,0.152,0.086,0.0391622005552859,"1","ICAM2"
"RGCC",1.8010910310471e-05,0.862171577937085,0.366,0.305,0.473686941165386,"1","RGCC"
"NBEAL1",0.00032509869461504,0.539705102921319,0.421,0.396,1,"1","NBEAL1"
"GIMAP4",0.000376535756987934,0.508407390047008,0.266,0.207,1,"1","GIMAP4"
"JCHAIN",0.0008748741181047,0.97368734717553,0.23,0.174,1,"1","JCHAIN"
"DDIT4",0.00132304107471289,0.514157923480149,0.452,0.412,1,"1","DDIT4"
"GADD45B",0.00209505675198967,0.524405849252339,0.247,0.201,1,"1","GADD45B"
"TMIGD21",3.05967359667883e-72,0.838989395899832,1,0.485,8.04694155926533e-68,"2","TMIGD2"
"GZMA",7.37179553324292e-30,0.669574658275951,0.857,0.621,1.93878222524289e-25,"2","GZMA"
"ALOX5AP",1.14966065960713e-20,0.536288539108357,0.846,0.703,3.02360753476675e-16,"2","ALOX5AP"
"CREM",5.03408911956489e-16,0.536153757012973,0.828,0.68,1.32396543844557e-11,"2","CREM"
"MIR4435-2HG",8.65354384437309e-16,0.51594205060886,0.432,0.249,2.27588203107012e-11,"2","MIR4435-2HG"
"CAPG",1.21401745072601e-15,0.520097149604464,0.633,0.439,3.19286589540942e-11,"2","CAPG"
"DAPK2",4.97266483258692e-15,0.52633286259795,0.224,0.098,1.30781085097036e-10,"2","DAPK2"
"LDLRAD4",7.4475175823888e-14,0.538569504705549,0.506,0.32,1.95869712416825e-09,"2","LDLRAD4"
"TRBC1",1.39119962263648e-12,0.591489003734601,0.606,0.441,3.65885500753394e-08,"2","TRBC1"
"CCL5",3.15906017258974e-09,0.515713207055785,0.696,0.561,8.30832825391102e-05,"2","CCL5"
"ADAM19",3.2830895769464e-07,0.528297329497801,0.318,0.215,0.00863452558736903,"2","ADAM19"
"FABP5",0.000182151546422408,0.51893822555592,0.262,0.193,1,"2","FABP5"
"GZMB",1.32670717774903e-101,1.82190413105401,0.758,0.26,3.48923987747994e-97,"3","GZMB"
"GNLY",5.00488124002964e-90,2.69933724330449,0.534,0.139,1.31628376612779e-85,"3","GNLY"
"CCL4",1.30087242653513e-44,1.19886899487553,0.544,0.217,3.4212944817874e-40,"3","CCL4"
"CCL51",2.66616414242343e-44,0.992093450252868,0.871,0.541,7.01201169457361e-40,"3","CCL5"
"GZMH",2.93485177549565e-42,1.29096843310321,0.281,0.07,7.71866016955357e-38,"3","GZMH"
"PRF1",1.85435833150544e-38,0.972138259692106,0.389,0.137,4.87696241185932e-34,"3","PRF1"
"GZMA1",3.53961788177622e-38,0.790031837746285,0.912,0.618,9.30919502907146e-34,"3","GZMA"
"NKG7",4.55865440975619e-38,1.19581059599497,0.521,0.235,1.19892610976588e-33,"3","NKG7"
"HOPX",5.94539778655275e-24,0.779767860257324,0.466,0.231,1.56363961786337e-19,"3","HOPX"
"LAG3",4.53090978886652e-20,0.755095922642933,0.302,0.128,1.19162927447189e-15,"3","LAG3"
"CD8A",8.25542022164022e-19,0.790616511945408,0.227,0.084,2.17117551829138e-14,"3","CD8A"
"IFNG",3.24058854531623e-17,0.999662671257309,0.314,0.147,8.52274787418167e-13,"3","IFNG"
"MT2A",1.50249542933338e-16,0.689569548557164,0.557,0.372,3.95156297914679e-12,"3","MT2A"
"CCL3",3.7133617590094e-15,1.16337530142623,0.222,0.094,9.76614142619472e-11,"3","CCL3"
"LITAF",5.05442498332146e-15,0.660428838834395,0.317,0.162,1.32931377061354e-10,"3","LITAF"
"CST7",1.00741872545337e-14,0.702844998410404,0.557,0.383,2.64951124794237e-10,"3","CST7"
"NEAT1",1.42295514072773e-14,0.619426686819255,0.773,0.599,3.74237202011392e-10,"3","NEAT1"
"TNFRSF18",4.89122838739709e-14,0.579934779616234,0.451,0.273,1.28639306588544e-09,"3","TNFRSF18"
"DUSP4",1.04625683150293e-12,0.550319327952878,0.536,0.355,2.7516554668527e-08,"3","DUSP4"
"C12orf75",1.58663842501088e-12,0.624286980789951,0.446,0.295,4.17285905777861e-08,"3","C12orf75"
"ITGB2",5.55306399723067e-12,0.60043738400276,0.34,0.193,1.46045583127167e-07,"3","ITGB2"
"CTSW",1.25958746614494e-11,0.506417586665463,0.219,0.101,3.31271503596119e-07,"3","CTSW"
"APOBEC3G",2.0214903145023e-11,0.587469550753457,0.304,0.172,5.31651952714106e-07,"3","APOBEC3G"
"CD70",8.04268696250785e-11,0.521699618749652,0.232,0.117,2.11522667113956e-06,"3","CD70"
"SLC7A5",6.70466575775254e-10,0.504346224718233,0.302,0.175,1.76332709428892e-05,"3","SLC7A5"
"LGALS1",2.04602664519021e-09,0.911783980102739,0.487,0.38,5.38105007685026e-05,"3","LGALS1"
"HLA-DRB1",2.37615172120376e-08,0.502465235046792,0.41,0.279,0.000624927902676589,"3","HLA-DRB1"
"HAVCR2",2.74526495398328e-08,0.554941234799719,0.142,0.067,0.000722004682897602,"3","HAVCR2"
"CCL3L3",3.40571954061727e-06,0.809604593212341,0.152,0.082,0.0895704239182342,"3","CCL3L3"
"CD7",1.78963036512258e-05,0.50215801303006,0.649,0.593,0.470672786027239,"3","CD7"
"IL17A",1.48436591749303e-280,2.5289183888435,1,0.135,3.90388236300667e-276,"4","IL17A"
"CD69",3.42103208046992e-09,0.538118982781287,0.803,0.747,8.99731437163589e-05,"4","CD69"
"HSPA1B",9.2198278779202e-09,0.589342976008262,0.384,0.242,0.000242481473189301,"4","HSPA1B"
"HSP90AA1",2.04335457106007e-07,0.520319070202546,0.921,0.863,0.00537402252188798,"4","HSP90AA1"
"HSPA1A",3.19272491206983e-07,0.671785508456922,0.454,0.321,0.00839686651874365,"4","HSPA1A"
"EGR1",4.49243934837556e-07,0.513129061524224,0.175,0.088,0.0118151154862277,"4","EGR1"
"DNAJB1",4.49851918206672e-07,0.791773897882734,0.629,0.552,0.0118311054488355,"4","DNAJB1"
"MT-RNR11",0.00039772062511495,0.849331177269193,0.206,0.139,1,"4","MT-RNR1"
"MT-RNR21",0.0032808104663843,0.891040511104211,0.241,0.187,1,"4","MT-RNR2"
"CCL20",0.0099419610296997,0.766300048262373,0.467,0.43,1,"4","CCL20"
"IL4I1",1.69538436009195e-47,1.22127242412611,0.492,0.169,4.45886086704182e-43,"5","IL4I1"
"TMIGD22",2.93508322990601e-39,0.656242809715905,1,0.51,7.71926889465279e-35,"5","TMIGD2"
"GZMK",5.04766932221845e-37,0.872304111755747,0.158,0.021,1.32753703174345e-32,"5","GZMK"
"NKG71",5.41350801430043e-30,0.911826233586518,0.539,0.242,1.42375260776101e-25,"5","NKG7"
"HOPX1",6.05514786516682e-25,0.895624650178077,0.505,0.234,1.59250388853887e-20,"5","HOPX"
"CTSW1",2.36176231667997e-22,0.721736434004599,0.286,0.098,6.21143489286832e-18,"5","CTSW"
"CD8A1",3.73640618063268e-21,0.8144694490975,0.259,0.085,9.82674825506394e-17,"5","CD8A"
"ZFP36",1.86539429645146e-20,0.837254303371935,0.791,0.619,4.90598699966734e-16,"5","ZFP36"
"ANXA11",1.4576436339e-12,0.51153124083899,0.771,0.535,3.833602757157e-08,"5","ANXA1"
"LYAR",5.64615736334605e-12,0.7013963499546,0.212,0.089,1.48493938656001e-07,"5","LYAR"
"DUSP11",1.68256284374219e-11,0.536211786936191,0.838,0.724,4.42514027904196e-07,"5","DUSP1"
"TRGC2",2.32054278601218e-10,0.654819479367052,0.212,0.096,6.10302752721204e-06,"5","TRGC2"
"AQP3",2.52632667484885e-09,0.551171645338124,0.414,0.269,6.64423915485248e-05,"5","AQP3"
"C17orf76-AS11",4.59489892448982e-09,0.566616709802155,0.249,0.125,0.000120845841714082,"5","C17orf76-AS1"
"NCR3",5.65483706255718e-09,0.747118254991197,0.222,0.112,0.000148722214745254,"5","NCR3"
"FOS1",6.41367826177178e-09,0.529127178566148,0.731,0.61,0.000168679738284598,"5","FOS"
"CCL41",9.29248121304513e-09,0.909961064639635,0.38,0.243,0.000244392255903087,"5","CCL4"
"IGHA11",1.41874295981526e-08,0.6294738624609,0.663,0.541,0.000373129398431414,"5","IGHA1"
"IGHA21",7.81917375272701e-08,0.574054074264727,0.34,0.203,0.0020564426969672,"5","IGHA2"
"BTG2",8.61924755771665e-08,0.549622851146373,0.498,0.364,0.00226686210767948,"5","BTG2"
"IFNGR1",9.27406375658143e-08,0.522222853186914,0.273,0.161,0.00243907876798092,"5","IFNGR1"
"LST1",4.30399418464105e-07,0.564370460012579,0.286,0.171,0.011319504705606,"5","LST1"
"PTPRCAP1",4.50049521227402e-07,0.690742525993868,0.232,0.129,0.0118363024082807,"5","PTPRCAP"
"MT-RNR22",1.27679490880279e-06,0.50391186880459,0.303,0.181,0.0335797061015133,"5","MT-RNR2"
"DUSP2",1.70586072525241e-06,0.880400950150718,0.357,0.252,0.0448641370741384,"5","DUSP2"
"IGJ1",5.57532702623918e-06,0.588385687577883,0.236,0.138,0.14663110079009,"5","IGJ"
"LMNA",1.75183769387975e-05,0.559696447713733,0.259,0.168,0.460733313490375,"5","LMNA"
"RGCC1",5.43407582376011e-05,0.643735229631577,0.394,0.306,1,"5","RGCC"
"TNF",0.00566771005710032,0.52258436000061,0.178,0.124,1,"5","TNF"
"IL22",0,2.76558102835504,0.99,0.04,0,"6","IL22"
"IGHA12",1.92649339926879e-10,0.638899243003165,0.741,0.54,5.06667764007693e-06,"6","IGHA1"
"C19orf10",2.74361076226994e-10,0.648833915037223,0.144,0.044,7.21569630476995e-06,"6","C19orf10"
"MT-RNR23",6.01967002849104e-09,0.698733281189832,0.353,0.181,0.000158317321749314,"6","MT-RNR2"
"AMICA11",9.32454383083982e-09,0.618952305617187,0.199,0.08,0.000245235502751087,"6","AMICA1"
"MIR24-21",1.03523804886272e-08,0.643356645297042,0.174,0.066,0.000272267606850897,"6","MIR24-2"
"PTPRCAP2",1.22032247341212e-08,0.577906883807487,0.279,0.13,0.000320944810507387,"6","PTPRCAP"
"IGJ2",2.51296571322749e-08,1.12386491674913,0.279,0.138,0.000660909982578831,"6","IGJ"
"MT-RNR12",7.68562430736678e-08,0.577612333778257,0.279,0.137,0.00202131919283746,"6","MT-RNR1"
"TMEM661",7.72176726484515e-07,0.557359606203508,0.294,0.155,0.0203082479065428,"6","TMEM66"
"C17orf76-AS12",1.1822830027637e-05,0.614053523802869,0.239,0.129,0.310940429726854,"6","C17orf76-AS1"
"PTGER21",1.32086018777226e-05,0.588502999316619,0.164,0.077,0.347386229384106,"6","PTGER2"
"TNFRSF4",2.75963734197932e-05,0.692602677439772,0.269,0.156,0.725784620940562,"6","TNFRSF4"
"IL17A1",1.01049712080353e-145,1.90748105984913,0.989,0.17,2.65760742771329e-141,"7","IL17A"
"TMIGD23",1.68824990415583e-32,0.791878869600359,0.995,0.527,4.44009724792983e-28,"7","TMIGD2"
"ZFP36L1",1.61659703284617e-06,0.589390451026794,0.652,0.496,0.0425165019638542,"7","ZFP36L1"
"CXCL13",0.000289813120120303,0.842077460316921,0.102,0.044,1,"7","CXCL13"
"TIGIT",0.00184242759616073,0.512205266415579,0.209,0.132,1,"7","TIGIT"
"IFNG1",0.00227477185443074,0.519758409273088,0.241,0.162,1,"7","IFNG"
"NTRK2",0,2.26208782523181,0.977,0.023,0,"8","NTRK2"
"PLIN21",1.999365975547e-22,1.34994149206564,0.663,0.324,5.25833251568862e-18,"8","PLIN2"
"NR3C1",1.04899190348938e-19,0.924479315500359,0.651,0.33,2.75884870617706e-15,"8","NR3C1"
"CTSL",1.36407596085144e-18,0.947239442042798,0.343,0.117,3.58751977703928e-14,"8","CTSL"
"SARAF",1.99047220679232e-18,0.698292604127866,0.953,0.695,5.23494190386381e-14,"8","SARAF"
"CREM1",3.83304147128268e-16,0.74472716023834,0.895,0.689,1.00808990694734e-11,"8","CREM"
"MSC",4.51291619887366e-14,0.52584713181221,0.331,0.122,1.18689696030377e-09,"8","MSC"
"HSPD1",8.42996909821463e-13,0.868395436175122,0.587,0.326,2.21708187283045e-08,"8","HSPD1"
"DUSP41",1.2199668164195e-11,0.664159816278507,0.628,0.363,3.2085127271833e-07,"8","DUSP4"
"FAM118A",1.43680502865563e-11,0.556345714275397,0.366,0.158,3.77879722536432e-07,"8","FAM118A"
"HES4",1.9948784990312e-11,0.585374815079224,0.285,0.109,5.24653045245206e-07,"8","HES4"
"COTL1",2.56808810662259e-11,0.611545184639018,0.855,0.656,6.75407172041742e-07,"8","COTL1"
"GNA15",1.78183663996506e-10,0.646656010865822,0.424,0.216,4.68623036310812e-06,"8","GNA15"
"HLA-DRB11",6.21996989099287e-10,0.669508917859944,0.5,0.283,1.63585208133112e-05,"8","HLA-DRB1"
"CRADD",9.94799860029721e-10,0.560500407920401,0.233,0.091,2.61632363187817e-05,"8","CRADD"
