"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STMN1",0,3.37862650499799,0.883,0.116,0,"Proliferative CD4 Tcells","STMN1"
"KIAA0101",0,2.62073291956678,0.714,0.027,0,"Proliferative CD4 Tcells","KIAA0101"
"TYMS",0,2.06442196506577,0.597,0.019,0,"Proliferative CD4 Tcells","TYMS"
"RRM2",0,2.06146309958584,0.509,0.009,0,"Proliferative CD4 Tcells","RRM2"
"UBE2C",0,2.01927491920499,0.52,0.016,0,"Proliferative CD4 Tcells","UBE2C"
"CKS1B",0,1.96703340995009,0.692,0.065,0,"Proliferative CD4 Tcells","CKS1B"
"TOP2A",0,1.96093493101351,0.485,0.013,0,"Proliferative CD4 Tcells","TOP2A"
"MKI67",0,1.95784682854118,0.544,0.013,0,"Proliferative CD4 Tcells","MKI67"
"NUSAP1",0,1.81884144334248,0.565,0.032,0,"Proliferative CD4 Tcells","NUSAP1"
"BIRC5",0,1.80471997449433,0.56,0.011,0,"Proliferative CD4 Tcells","BIRC5"
"TK1",0,1.68124256478689,0.475,0.015,0,"Proliferative CD4 Tcells","TK1"
"CENPF",0,1.65779238272131,0.427,0.019,0,"Proliferative CD4 Tcells","CENPF"
"ZWINT",0,1.48258325084018,0.499,0.014,0,"Proliferative CD4 Tcells","ZWINT"
"CDK1",0,1.411820327797,0.438,0.012,0,"Proliferative CD4 Tcells","CDK1"
"MCM7",0,1.28417499188761,0.422,0.038,0,"Proliferative CD4 Tcells","MCM7"
"CDKN3",0,1.23107160887412,0.395,0.017,0,"Proliferative CD4 Tcells","CDKN3"
"SMC2",0,1.18610941448859,0.456,0.032,0,"Proliferative CD4 Tcells","SMC2"
"TPX2",0,1.1664492278316,0.34,0.009,0,"Proliferative CD4 Tcells","TPX2"
"CLSPN",0,1.16269616723455,0.387,0.016,0,"Proliferative CD4 Tcells","CLSPN"
"CENPW",0,1.13058268144895,0.395,0.015,0,"Proliferative CD4 Tcells","CENPW"
"MAD2L1",0,1.08736855391964,0.422,0.033,0,"Proliferative CD4 Tcells","MAD2L1"
"UBE2T",0,1.0804565055823,0.387,0.021,0,"Proliferative CD4 Tcells","UBE2T"
"AURKB",0,1.05526505737067,0.308,0.007,0,"Proliferative CD4 Tcells","AURKB"
"HELLS",0,1.00727718667492,0.342,0.025,0,"Proliferative CD4 Tcells","HELLS"
"DHFR",0,1.00558258468483,0.345,0.018,0,"Proliferative CD4 Tcells","DHFR"
"FEN1",9.36287269465985e-258,0.912813530598533,0.332,0.028,2.46243551869554e-253,"Proliferative CD4 Tcells","FEN1"
"CENPM",1.57639657864041e-241,1.21182164268196,0.467,0.056,4.14592300182428e-237,"Proliferative CD4 Tcells","CENPM"
"ATAD2",1.01233623017334e-229,0.881937347608849,0.326,0.03,2.66244428535588e-225,"Proliferative CD4 Tcells","ATAD2"
"TUBB",2.65348400655484e-223,2.76923843210919,0.881,0.287,6.97866293723923e-219,"Proliferative CD4 Tcells","TUBB"
"TMPO",5.47242446678897e-223,1.35963155023214,0.533,0.079,1.4392476347655e-218,"Proliferative CD4 Tcells","TMPO"
"PCNA",1.06065407162284e-221,1.73587194851613,0.637,0.115,2.78952020836807e-217,"Proliferative CD4 Tcells","PCNA"
"HMGB2",3.66974091712423e-210,2.64450015008913,0.931,0.383,9.65141861203673e-206,"Proliferative CD4 Tcells","HMGB2"
"SMC4",1.72356762518515e-199,1.43381031908266,0.642,0.123,4.53298285423694e-195,"Proliferative CD4 Tcells","SMC4"
"DTYMK",2.21809723273464e-193,0.944226657284013,0.403,0.051,5.83359572209211e-189,"Proliferative CD4 Tcells","DTYMK"
"PTTG1",4.17133313179479e-184,1.50269863023167,0.671,0.143,1.09706061366203e-179,"Proliferative CD4 Tcells","PTTG1"
"TUBA1B",9.18295864238689e-179,2.67229537625811,0.928,0.437,2.41511812294775e-174,"Proliferative CD4 Tcells","TUBA1B"
"SKA2",1.58207272950565e-176,0.959999819200924,0.483,0.076,4.16085127859987e-172,"Proliferative CD4 Tcells","SKA2"
"EZH2",2.23428284223046e-175,0.970005934542834,0.363,0.046,5.87616387506611e-171,"Proliferative CD4 Tcells","EZH2"
"TMEM106C",9.36080819188553e-173,1.07961967463026,0.432,0.065,2.46189255446589e-168,"Proliferative CD4 Tcells","TMEM106C"
"PHF19",1.71048614997829e-164,0.881269606092836,0.361,0.048,4.4985785744429e-160,"Proliferative CD4 Tcells","PHF19"
"NUDT1",6.14243603009082e-156,1.01541798401792,0.533,0.1,1.61546067591389e-151,"Proliferative CD4 Tcells","NUDT1"
"HMGN2",1.17573790219261e-154,2.12749934568909,0.928,0.474,3.09219068276656e-150,"Proliferative CD4 Tcells","HMGN2"
"MCM5",2.38181405146091e-153,0.858885528951657,0.35,0.048,6.26417095534219e-149,"Proliferative CD4 Tcells","MCM5"
"MCM3",3.44373594555464e-147,0.902073674517402,0.363,0.053,9.05702553680872e-143,"Proliferative CD4 Tcells","MCM3"
"HMGB1",1.39382290872928e-142,1.68985325370518,0.973,0.707,3.66575424995801e-138,"Proliferative CD4 Tcells","HMGB1"
"DUT",2.81269366177381e-142,1.770896621026,0.74,0.244,7.39738433046511e-138,"Proliferative CD4 Tcells","DUT"
"KIF22",1.16229668011514e-136,0.85854865915174,0.345,0.051,3.05684026870283e-132,"Proliferative CD4 Tcells","KIF22"
"H2AFZ",1.11688159596034e-133,1.83017331276848,0.942,0.543,2.9373985973757e-129,"Proliferative CD4 Tcells","H2AFZ"
"NUCKS1",4.0250074137211e-125,1.4077960213015,0.721,0.23,1.05857694980865e-120,"Proliferative CD4 Tcells","NUCKS1"
"ANP32B",5.5092351149638e-124,1.43138484579243,0.836,0.335,1.44892883523548e-119,"Proliferative CD4 Tcells","ANP32B"
"USP1",1.25327864628812e-121,0.922242415145225,0.451,0.09,3.29612283973775e-117,"Proliferative CD4 Tcells","USP1"
"DEK",3.4021669446558e-121,1.52765083756872,0.761,0.278,8.94769906444476e-117,"Proliferative CD4 Tcells","DEK"
"H2AFV",6.12783846540921e-120,1.46935967321467,0.854,0.363,1.61162151640262e-115,"Proliferative CD4 Tcells","H2AFV"
"HIST1H4C",4.16651988726619e-116,2.95921882226719,0.647,0.215,1.09579473035101e-111,"Proliferative CD4 Tcells","HIST1H4C"
"ANP32E",1.33914284283735e-114,1.11525917881703,0.584,0.152,3.52194567666223e-110,"Proliferative CD4 Tcells","ANP32E"
"RPA3",2.55067190777415e-111,1.06284786357458,0.61,0.165,6.70826711744601e-107,"Proliferative CD4 Tcells","RPA3"
"GAPDH",9.93892557516623e-110,1.19451506159092,0.987,0.908,2.61393742626872e-105,"Proliferative CD4 Tcells","GAPDH"
"KIF20B",3.71816765462359e-108,0.880679218407689,0.35,0.063,9.77878093166003e-104,"Proliferative CD4 Tcells","KIF20B"
"CARHSP1",3.31921948772769e-107,1.09468152320349,0.592,0.159,8.72954725272383e-103,"Proliferative CD4 Tcells","CARHSP1"
"ACTB",1.15543883290013e-106,1.12803281074021,0.997,0.987,3.03880413052733e-102,"Proliferative CD4 Tcells","ACTB"
"RANBP1",2.88334747540063e-103,1.38244213327424,0.745,0.292,7.58320386030367e-99,"Proliferative CD4 Tcells","RANBP1"
"MT2A",3.80073959704725e-101,1.43581665428561,0.767,0.307,9.99594514023426e-97,"Proliferative CD4 Tcells","MT2A"
"DNAJC9",1.2447930163203e-99,0.955639300312551,0.464,0.11,3.27380563292238e-95,"Proliferative CD4 Tcells","DNAJC9"
